Word,Count,Percentage of total,Cumulative percentage of total
διαπρεπής,5,0.02,86.82
ἀμελής,5,0.02,86.84
τριπλάσιος,5,0.02,86.85
ἀναίσχυντος,5,0.02,86.87
πάρισος,5,0.02,86.89
ἐπικυδής,5,0.02,86.9
σύγκλητος,5,0.02,86.92
ἱππηγός,5,0.02,86.94
σύνοπτος,5,0.02,86.95
ἀνέλπιστος,5,0.02,86.97
φιλικός,5,0.02,86.99
συμφυής,5,0.02,87.0
λιτός,5,0.02,87.02
στάσιμος,5,0.02,87.04
ἐπιστήμων,5,0.02,87.05
ἐπαινετός,5,0.02,87.07
φιλόνεικος,5,0.02,87.09
αὐστηρός,5,0.02,87.11
ἐπικίνδυνος,5,0.02,87.12
ἄτολμος,5,0.02,87.14
ἔνοπλος,5,0.02,87.16
εὐδόκιμος,5,0.02,87.17
ὑποτελής,5,0.02,87.19
ἰατρικός,5,0.02,87.21
θυμοειδής,5,0.02,87.22
ἐγγύς,5,0.02,87.24
ἵλαος,5,0.02,87.26
ἔνσπονδος,5,0.02,87.27
ἀήττητος,4,0.01,87.29
